person_id,start,end,government,role
i-35xJbKo6VkrJQSnGvrd9Vj,1856-05-28,1866-07-04,Regeringen Günther,finansminister
i-35xJbKo6VkrJQSnGvrd9Vj,1856-05-28,1866-07-04,Regeringen Sparre,finansminister
i-wVG4QF5ZkrTTo5uHxD7ED,1856-12-16,1860,Regeringen De Geer d.ä. I,civilminister
i-8f854Dq4Vwz1HYKU3MS3A1,1857-12-30,1862-06-12,Regeringen De Geer d.ä. I,sjöförsvarsminister
i-8f854Dq4Vwz1HYKU3MS3A1,1857-12-30,1862-06-12,Regeringen Günther,sjöförsvarsminister
i-M6HZSzErrkvRs1tuZi7K48,1858,1870,Regeringen De Geer d.ä. I,justitiestatsminister
i-6tymTvb9PiygbXCXFfdMi6,1858-04-27,1859-01-29,Regeringen De Geer d.ä. I,konsultativt statsråd
i-2ehtmACUZPNJMNnS5o3dYB,1858-05-04,1860-11-02,Regeringen De Geer d.ä. I,konsultativt statsråd
i-Pg1UH24brFgKCM8CVnjJ3T,1858-09-24,1862-03-28,Regeringen De Geer d.ä. I,lantförsvarsminister
i-6tymTvb9PiygbXCXFfdMi6,1859-01-29,1860-11-02,Regeringen De Geer d.ä. I,ecklesiastikminister
i-HSP9LioPctrDbuGfZ5P4G,1859-01-29,1866-09,Regeringen De Geer d.ä. I,konsultativt statsråd
i-2ehtmACUZPNJMNnS5o3dYB,1860-11-02,1868-06-01,Regeringen De Geer d.ä. I,civilminister
i-DZAnqjUMmj8qFZsvGfjxRv,1860-11-02,1863-08-01,Regeringen De Geer d.ä. I,ecklesiastikminister
i-35gSvZSnGVngdKy4MQKZtS,1861-03-26,1868-06-04,Regeringen De Geer d.ä. I,konsultativt statsråd
i-9igV4UYxvovYHfEKhx7fdK,1862-03-28,1867-07-05,Regeringen De Geer d.ä. I,lantförsvarsminister
i-LCcpUNpbfh4oCj9DbmSZS3,1862-06-12,1868-06-04,Regeringen De Geer d.ä. I,sjöförsvarsminister
i-4vNUD3c1Zrcuq5QuVbNmhB,1863-08-01,1870-06-03,Regeringen De Geer d.ä. I,ecklesiastikminister
i-HiLh4CgUmPaDRYddeo7w7X,1866-09-04,1867-05-31,Regeringen De Geer d.ä. I,finansminister
i-NeTAuRpvnph7pbgbLpZxig,1867-07-05,1871-12-05,Regeringen Adlercreutz,lantförsvarsminister
i-NeTAuRpvnph7pbgbLpZxig,1867-07-05,1871-12-05,Regeringen De Geer d.ä. I,lantförsvarsminister
i-VJzAojg4oj9Du46UWXaaqZ,1867-08-23,1870-05-12,Regeringen De Geer d.ä. I,finansminister
i-2bVVLzWvNsURiiwq5jSQS9,1868,1870-06-03,Regeringen De Geer d.ä. I,civilminister
i-F25NVHcBHh8Wvt6w7kLUBA,1868-06-04,1875-05-11,Regeringen Adlercreutz,konsultativt statsråd
i-35gSvZSnGVngdKy4MQKZtS,1868-06-04,1870-01-14,Regeringen De Geer d.ä. I,sjöförsvarsminister
i-F25NVHcBHh8Wvt6w7kLUBA,1868-06-04,1875-05-11,Regeringen De Geer d.ä. I,konsultativt statsråd
i-SfiURaPHeMX8krVz378cGg,1870-01-14,1874-12-23,Regeringen Adlercreutz,sjöförsvarsminister
i-SfiURaPHeMX8krVz378cGg,1870-01-14,1874-12-23,Regeringen Carleson,sjöförsvarsminister
i-SfiURaPHeMX8krVz378cGg,1870-01-14,1874-12-23,Regeringen De Geer d.ä. I,sjöförsvarsminister
i-3DKytmgpnLCJYb8hSjHGUm,1870-06-03,1875-05-11,Regeringen Adlercreutz,civilminister
i-U1NfXLExmstEEYumsy2WHu,1870-06-03,1875-05-11,Regeringen Adlercreutz,ecklesiastikminister
i-YLE2WFqhUG9LaVo3997T4z,1870-06-03,1874-09-28,Regeringen Adlercreutz,finansminister
i-3DKytmgpnLCJYb8hSjHGUm,1870-06-03,1875-05-11,Regeringen Carleson,civilminister
i-U1NfXLExmstEEYumsy2WHu,1870-06-03,1875-05-11,Regeringen Carleson,ecklesiastikminister
i-YLE2WFqhUG9LaVo3997T4z,1870-06-03,1874-09-28,Regeringen Carleson,finansminister
i-LCcpUNpbfh4oCj9DbmSZS3,1871-11-10,1872-12-17,Regeringen Adlercreutz,utrikesstatsminister
i-M6haWJp8kv7KUkmMPYjX4C,1871-12-05,1877-09-11,Regeringen Adlercreutz,lantförsvarsminister
i-M6haWJp8kv7KUkmMPYjX4C,1871-12-05,1877-09-11,Regeringen Carleson,lantförsvarsminister
i-M6haWJp8kv7KUkmMPYjX4C,1871-12-05,1877-09-11,Regeringen De Geer d.ä. II,lantförsvarsminister
i-M6haWJp8kv7KUkmMPYjX4C,1871-12-05,1877-09-11,Regeringen De Geer d.ä. III,lantförsvarsminister
