person_id,start,end,party,party_id,swerik_party_id
i-P7oVLGoBfbz4RGE5XkQtLN,1974-03-12,1974-04-22,Folkpartiet,Q110857,i-FpGjUCojANuvvwqsNXjcuu
i-P7oVLGoBfbz4RGE5XkQtLN,1974-04-23,1974-05-31,Folkpartiet,Q110857,i-FpGjUCojANuvvwqsNXjcuu
i-P7oVLGoBfbz4RGE5XkQtLN,1976-10-04,1976-10-10,Folkpartiet,Q110857,i-FpGjUCojANuvvwqsNXjcuu
i-P7oVLGoBfbz4RGE5XkQtLN,1979-10-01,1979-10-01,Folkpartiet,Q110857,i-FpGjUCojANuvvwqsNXjcuu
i-P7oVLGoBfbz4RGE5XkQtLN,1982-10-04,1985-09-30,Folkpartiet,Q110857,i-FpGjUCojANuvvwqsNXjcuu
i-P7oVLGoBfbz4RGE5XkQtLN,1985-09-30,1988-10-03,Folkpartiet,Q110857,i-FpGjUCojANuvvwqsNXjcuu
i-P7oVLGoBfbz4RGE5XkQtLN,1988-10-03,1988-10-13,Folkpartiet,Q110857,i-FpGjUCojANuvvwqsNXjcuu
i-P7oVLGoBfbz4RGE5XkQtLN,1988-11-15,1991-09-30,Liberalerna,Q110857,
i-P7oVLGoBfbz4RGE5XkQtLN,1991-09-30,1992-06-30,Folkpartiet liberalerna,Q110857,i-Hm85EQfFmbYuYFPjpXtuCj
i-P8q9oyKjWzPdBEfQeD8Vwa,1985-09-30,1988-10-03,Vänsterpartiet Kommunisterna,Q110837,i-2SVXJYpXaRHXxbWRcbRd5N
i-P8q9oyKjWzPdBEfQeD8Vwa,1988-10-03,1991-09-30,Vänsterpartiet,Q110837,
i-P8ud9t2FDiNCN5TAFAsfAq,2014-09-29,2018-09-24,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-P8ud9t2FDiNCN5TAFAsfAq,2018-09-24,2022-09-26,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-P8ud9t2FDiNCN5TAFAsfAq,2022-09-26,,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-P9GubMcG7734UATmDqDbFz,2001-01-16,2001-02-16,Moderata samlingspartiet,Q110843,i-F6Stwe8wVnSPa3BbgusszQ
i-P9fVT6wJo29FgZWPQLxr6o,2002-09-30,2005-07-12,Folkpartiet liberalerna,Q110857,i-Hm85EQfFmbYuYFPjpXtuCj
i-P9fVT6wJo29FgZWPQLxr6o,2005-09-01,2005-09-30,Folkpartiet liberalerna,Q110857,i-Hm85EQfFmbYuYFPjpXtuCj
i-P9fVT6wJo29FgZWPQLxr6o,2005-12-01,2006-10-02,Folkpartiet liberalerna,Q110857,i-Hm85EQfFmbYuYFPjpXtuCj
i-PAfMpaW8KP2UfRTBpXARTc,2014-09-29,2015-04-06,Vänsterpartiet,Q110837,i-CJb7bcc1eZcehvGarg8GpB
i-PAfMpaW8KP2UfRTBpXARTc,2015-06-22,2015-08-02,Vänsterpartiet,Q110837,i-CJb7bcc1eZcehvGarg8GpB
i-PAfMpaW8KP2UfRTBpXARTc,2016-01-05,2018-09-24,Vänsterpartiet,Q110837,i-CJb7bcc1eZcehvGarg8GpB
i-PAfMpaW8KP2UfRTBpXARTc,2018-09-24,2022-09-26,Vänsterpartiet,Q110837,i-CJb7bcc1eZcehvGarg8GpB
i-PAfMpaW8KP2UfRTBpXARTc,2022-09-26,,Vänsterpartiet,Q110837,
i-PAgTpr3nkZRPEoiqjPKQAf,2022-09-26,,Miljöpartiet,Q213451,i-Qha9NerKBigcjJXgoRk4Md
i-PAqLvMEztoGTfwmdBGUfyR,2022-09-26,,Moderata samlingspartiet,Q110843,i-F6Stwe8wVnSPa3BbgusszQ
i-PBSxPmi2qJkmc16jpZDA6Y,2010-10-04,2014-09-29,Kristdemokraterna,Q213654,i-BRRSButj7zSqB1u7zD6hod
i-PBSxPmi2qJkmc16jpZDA6Y,2014-09-29,2018-09-24,Kristdemokraterna,Q213654,i-BRRSButj7zSqB1u7zD6hod
i-PBSxPmi2qJkmc16jpZDA6Y,2018-09-24,2022-09-26,Kristdemokraterna,Q213654,i-BRRSButj7zSqB1u7zD6hod
i-PBm4KteBC6gGmfGa91sNVC,2022-10-18,,Moderata samlingspartiet,Q110843,i-F6Stwe8wVnSPa3BbgusszQ
i-PCZrYEHwPaEeNTZphEsWTv,,2006-10-02,Centerpartiet,Q110832,i-UiFZiVNo3YgVfyN93Qigiv
i-PCnLWdAneV8F1KuKx6zYq3,1998-01-01,1998-10-05,Folkpartiet liberalerna,Q110857,i-Hm85EQfFmbYuYFPjpXtuCj
i-PDRRRaXKabL6avxH1jYjid,1998-10-05,2002-09-30,Folkpartiet liberalerna,Q110857,i-Hm85EQfFmbYuYFPjpXtuCj
i-PDRRRaXKabL6avxH1jYjid,2005-01-15,2005-07-15,Folkpartiet liberalerna,Q110857,i-Hm85EQfFmbYuYFPjpXtuCj
