calendar_year,parliament_year,chamber,swerik_party_id,nr_seats
1929,1929,fk,i-9fghptqkyNzTVdA8knRCGq,7
1930,1930,ak,i-VzZnBZoi4EChaiCfF6kxbz,5
1930,1930,ak,No SWERIK-id found,2
1930,1930,ak,i-VS8ddgxigwL5TceKtXGApS,90
1930,1930,ak,i-CNbGLyuzdkRJ2sJBBpzJit,27
1930,1930,ak,i-V7MTfG5XaAmjbSDtLkyyfc,28
1930,1930,ak,i-TQCUzfkvYhBFrXeQwXoENH,1
1930,1930,ak,i-NhgK2ujGF5t35o2VjT8Q5U,73
1930,1930,ak,i-9fghptqkyNzTVdA8knRCGq,4
1930,1930,fk,i-CNbGLyuzdkRJ2sJBBpzJit,16
1930,1930,fk,i-UiFZiVNo3YgVfyN93Qigiv,1
1930,1930,fk,i-9fghptqkyNzTVdA8knRCGq,6
1930,1930,fk,i-3kDgsboJBSv4zGqF4zfCsY,46
1930,1930,fk,i-V7MTfG5XaAmjbSDtLkyyfc,23
1930,1930,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,2
1930,1930,fk,i-VS8ddgxigwL5TceKtXGApS,52
1930,1930,fk,i-VzZnBZoi4EChaiCfF6kxbz,2
1931,1931,ak,i-TQCUzfkvYhBFrXeQwXoENH,1
1931,1931,ak,i-NhgK2ujGF5t35o2VjT8Q5U,72
1931,1931,ak,i-CNbGLyuzdkRJ2sJBBpzJit,27
1931,1931,ak,No SWERIK-id found,2
1931,1931,ak,i-VzZnBZoi4EChaiCfF6kxbz,5
1931,1931,ak,i-VS8ddgxigwL5TceKtXGApS,89
1931,1931,ak,i-V7MTfG5XaAmjbSDtLkyyfc,28
1931,1931,ak,i-9fghptqkyNzTVdA8knRCGq,4
1931,1931,fk,i-VzZnBZoi4EChaiCfF6kxbz,1
1931,1931,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,2
1931,1931,fk,i-3kDgsboJBSv4zGqF4zfCsY,47
1931,1931,fk,i-VS8ddgxigwL5TceKtXGApS,53
1931,1931,fk,i-CNbGLyuzdkRJ2sJBBpzJit,16
1931,1931,fk,i-9fghptqkyNzTVdA8knRCGq,5
1931,1931,fk,i-UiFZiVNo3YgVfyN93Qigiv,1
1931,1931,fk,i-V7MTfG5XaAmjbSDtLkyyfc,22
1932,1932,ak,i-V7MTfG5XaAmjbSDtLkyyfc,28
1932,1932,ak,i-VS8ddgxigwL5TceKtXGApS,90
1932,1932,ak,i-CNbGLyuzdkRJ2sJBBpzJit,27
1932,1932,ak,No SWERIK-id found,2
1932,1932,ak,i-TQCUzfkvYhBFrXeQwXoENH,1
1932,1932,ak,i-9fghptqkyNzTVdA8knRCGq,4
1932,1932,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,1
1932,1932,ak,i-NhgK2ujGF5t35o2VjT8Q5U,71
1932,1932,ak,i-VzZnBZoi4EChaiCfF6kxbz,5
1932,1932,fk,i-3kDgsboJBSv4zGqF4zfCsY,45
1932,1932,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,3
1932,1932,fk,i-9fghptqkyNzTVdA8knRCGq,4
1932,1932,fk,i-UiFZiVNo3YgVfyN93Qigiv,2
1932,1932,fk,i-VzZnBZoi4EChaiCfF6kxbz,1
1932,1932,fk,i-VS8ddgxigwL5TceKtXGApS,55
1932,1932,fk,i-CNbGLyuzdkRJ2sJBBpzJit,17
1932,1932,fk,i-V7MTfG5XaAmjbSDtLkyyfc,21
1933,1933,ak,i-CJb7bcc1eZcehvGarg8GpB,2
1933,1933,ak,i-UiFZiVNo3YgVfyN93Qigiv,3
1933,1933,ak,i-9fghptqkyNzTVdA8knRCGq,4
1933,1933,ak,i-TQCUzfkvYhBFrXeQwXoENH,1
1933,1933,ak,i-V7MTfG5XaAmjbSDtLkyyfc,19
1933,1933,ak,i-VS8ddgxigwL5TceKtXGApS,104
1933,1933,ak,No SWERIK-id found,2
1933,1933,ak,i-NhgK2ujGF5t35o2VjT8Q5U,58
1933,1933,ak,i-CNbGLyuzdkRJ2sJBBpzJit,33
1933,1933,ak,i-VzZnBZoi4EChaiCfF6kxbz,3
1933,1933,fk,i-CNbGLyuzdkRJ2sJBBpzJit,16
1933,1933,fk,i-UiFZiVNo3YgVfyN93Qigiv,2
1933,1933,fk,i-V7MTfG5XaAmjbSDtLkyyfc,19
1933,1933,fk,i-9fghptqkyNzTVdA8knRCGq,4
1933,1933,fk,i-VzZnBZoi4EChaiCfF6kxbz,1
1933,1933,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,3
1933,1933,fk,i-VS8ddgxigwL5TceKtXGApS,58
1933,1933,fk,i-3kDgsboJBSv4zGqF4zfCsY,45
1934,1934,ak,i-VS8ddgxigwL5TceKtXGApS,102
1934,1934,ak,i-UiFZiVNo3YgVfyN93Qigiv,3
1934,1934,ak,i-9fghptqkyNzTVdA8knRCGq,4
1934,1934,ak,i-CNbGLyuzdkRJ2sJBBpzJit,33
1934,1934,ak,i-SeXPXWPfyJxdeuuFtkdhxh,8
1934,1934,ak,i-NhgK2ujGF5t35o2VjT8Q5U,56
1934,1934,ak,i-CJb7bcc1eZcehvGarg8GpB,2
1934,1934,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,2
1934,1934,ak,i-V7MTfG5XaAmjbSDtLkyyfc,20
1934,1934,fk,i-3kDgsboJBSv4zGqF4zfCsY,47
1934,1934,fk,i-CNbGLyuzdkRJ2sJBBpzJit,18
1934,1934,fk,i-9fghptqkyNzTVdA8knRCGq,2
1934,1934,fk,i-V7MTfG5XaAmjbSDtLkyyfc,17
1934,1934,fk,i-SeXPXWPfyJxdeuuFtkdhxh,1
1934,1934,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,3
1934,1934,fk,i-VS8ddgxigwL5TceKtXGApS,61
1934,1934,fk,i-UiFZiVNo3YgVfyN93Qigiv,1
1935,1935,ak,i-Kpkv9BSujEEJp1S4rDiDt7,1
1935,1935,ak,i-UiFZiVNo3YgVfyN93Qigiv,3
1935,1935,ak,i-3A4u29WVtvfu8i1KwuPEeE,2
1935,1935,ak,i-VS8ddgxigwL5TceKtXGApS,102
1935,1935,ak,i-CJb7bcc1eZcehvGarg8GpB,2
1935,1935,ak,i-NhgK2ujGF5t35o2VjT8Q5U,1
1935,1935,ak,i-CNbGLyuzdkRJ2sJBBpzJit,34
1935,1935,ak,i-FpGjUCojANuvvwqsNXjcuu,24
1935,1935,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,1
1935,1935,ak,i-4nyjRorziqEDtDmp1ZXDoP,49
1935,1935,ak,No SWERIK-id found,3
1935,1935,ak,i-SeXPXWPfyJxdeuuFtkdhxh,8
1935,1935,fk,i-3A4u29WVtvfu8i1KwuPEeE,4
1935,1935,fk,i-UiFZiVNo3YgVfyN93Qigiv,1
1935,1935,fk,i-F6Stwe8wVnSPa3BbgusszQ,1
1935,1935,fk,i-FpGjUCojANuvvwqsNXjcuu,19
1935,1935,fk,i-SeXPXWPfyJxdeuuFtkdhxh,1
1935,1935,fk,i-CNbGLyuzdkRJ2sJBBpzJit,19
1935,1935,fk,i-4nyjRorziqEDtDmp1ZXDoP,40
1935,1935,fk,i-VS8ddgxigwL5TceKtXGApS,62
1935,1935,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,1
1936,1936,ak,i-FpGjUCojANuvvwqsNXjcuu,24
1936,1936,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,2
1936,1936,ak,No SWERIK-id found,4
1936,1936,ak,i-NhgK2ujGF5t35o2VjT8Q5U,1
1936,1936,ak,i-CNbGLyuzdkRJ2sJBBpzJit,34
1936,1936,ak,i-UiFZiVNo3YgVfyN93Qigiv,3
1936,1936,ak,i-Kpkv9BSujEEJp1S4rDiDt7,1
1936,1936,ak,i-VS8ddgxigwL5TceKtXGApS,100
1936,1936,ak,i-SeXPXWPfyJxdeuuFtkdhxh,8
1936,1936,ak,i-4nyjRorziqEDtDmp1ZXDoP,49
1936,1936,ak,i-CJb7bcc1eZcehvGarg8GpB,2
1936,1936,ak,i-3A4u29WVtvfu8i1KwuPEeE,1
1936,1936,fk,i-CNbGLyuzdkRJ2sJBBpzJit,21
1936,1936,fk,i-3A4u29WVtvfu8i1KwuPEeE,8
1936,1936,fk,i-FpGjUCojANuvvwqsNXjcuu,16
1936,1936,fk,i-UiFZiVNo3YgVfyN93Qigiv,1
1936,1936,fk,i-VS8ddgxigwL5TceKtXGApS,66
1936,1936,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,1
1936,1936,fk,i-SeXPXWPfyJxdeuuFtkdhxh,1
1936,1936,fk,i-4nyjRorziqEDtDmp1ZXDoP,36
1937,1937,ak,i-CJb7bcc1eZcehvGarg8GpB,5
1937,1937,ak,i-UiFZiVNo3YgVfyN93Qigiv,5
1937,1937,ak,i-VS8ddgxigwL5TceKtXGApS,112
1937,1937,ak,i-F6Stwe8wVnSPa3BbgusszQ,1
1937,1937,ak,i-CNbGLyuzdkRJ2sJBBpzJit,31
1937,1937,ak,i-3A4u29WVtvfu8i1KwuPEeE,11
1937,1937,ak,i-FpGjUCojANuvvwqsNXjcuu,25
1937,1937,ak,i-SeXPXWPfyJxdeuuFtkdhxh,6
1937,1937,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,1
1937,1937,ak,i-Kpkv9BSujEEJp1S4rDiDt7,1
1937,1937,ak,i-4nyjRorziqEDtDmp1ZXDoP,31
1937,1937,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,2
1937,1937,fk,i-CNbGLyuzdkRJ2sJBBpzJit,21
1937,1937,fk,i-UiFZiVNo3YgVfyN93Qigiv,1
1937,1937,fk,i-VS8ddgxigwL5TceKtXGApS,67
1937,1937,fk,i-3A4u29WVtvfu8i1KwuPEeE,13
1937,1937,fk,i-4nyjRorziqEDtDmp1ZXDoP,30
1937,1937,fk,i-FpGjUCojANuvvwqsNXjcuu,17
1937,1937,fk,i-SeXPXWPfyJxdeuuFtkdhxh,1
1938,1938,ak,i-UiFZiVNo3YgVfyN93Qigiv,6
1938,1938,ak,i-VS8ddgxigwL5TceKtXGApS,115
1938,1938,ak,i-3A4u29WVtvfu8i1KwuPEeE,11
1938,1938,ak,i-FpGjUCojANuvvwqsNXjcuu,26
1938,1938,ak,i-Kpkv9BSujEEJp1S4rDiDt7,1
1938,1938,ak,i-SeXPXWPfyJxdeuuFtkdhxh,3
1938,1938,ak,i-F6Stwe8wVnSPa3BbgusszQ,2
