year,chamber,party_id,nr_seats,artificial
201011,ek,i-UiFZiVNo3YgVfyN93Qigiv,23
201011,ek,i-Hm85EQfFmbYuYFPjpXtuCj,24
201011,ek,i-BRRSButj7zSqB1u7zD6hod,19
201011,ek,i-F6Stwe8wVnSPa3BbgusszQ,107
201011,ek,i-Cb6hYmJf4EDxesFRgErquJ,20
201415,ek,i-CJb7bcc1eZcehvGarg8GpB,21
201415,ek,i-VS8ddgxigwL5TceKtXGApS,113
201415,ek,i-Qha9NerKBigcjJXgoRk4Md,25
201415,ek,i-UiFZiVNo3YgVfyN93Qigiv,22
201415,ek,i-Hm85EQfFmbYuYFPjpXtuCj,19
201415,ek,i-BRRSButj7zSqB1u7zD6hod,16
201415,ek,i-F6Stwe8wVnSPa3BbgusszQ,84
201415,ek,i-Cb6hYmJf4EDxesFRgErquJ,49
201617,ek,i-CJb7bcc1eZcehvGarg8GpB,21,1
201617,ek,i-VS8ddgxigwL5TceKtXGApS,113,1
201617,ek,i-Qha9NerKBigcjJXgoRk4Md,25,1
201617,ek,i-UiFZiVNo3YgVfyN93Qigiv,22,1
201617,ek,i-Kpkv9BSujEEJp1S4rDiDt7,19,1
201617,ek,i-BRRSButj7zSqB1u7zD6hod,16,1
201617,ek,i-F6Stwe8wVnSPa3BbgusszQ,84,1
201617,ek,i-Cb6hYmJf4EDxesFRgErquJ,49,1
201819,ek,i-CJb7bcc1eZcehvGarg8GpB,28
201819,ek,i-VS8ddgxigwL5TceKtXGApS,100
201819,ek,i-Qha9NerKBigcjJXgoRk4Md,16
201819,ek,i-UiFZiVNo3YgVfyN93Qigiv,31
201819,ek,i-Kpkv9BSujEEJp1S4rDiDt7,20
201819,ek,i-BRRSButj7zSqB1u7zD6hod,22
201819,ek,i-F6Stwe8wVnSPa3BbgusszQ,70
201819,ek,i-Cb6hYmJf4EDxesFRgErquJ,62
202223,ek,i-CJb7bcc1eZcehvGarg8GpB,24
202223,ek,i-VS8ddgxigwL5TceKtXGApS,107
202223,ek,i-Qha9NerKBigcjJXgoRk4Md,18
202223,ek,i-UiFZiVNo3YgVfyN93Qigiv,24
202223,ek,i-Kpkv9BSujEEJp1S4rDiDt7,16
202223,ek,i-BRRSButj7zSqB1u7zD6hod,19
202223,ek,i-F6Stwe8wVnSPa3BbgusszQ,68
202223,ek,i-Cb6hYmJf4EDxesFRgErquJ,73
